Salary Cap Values #9
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Ashton Jeanty (RB - LV),13,$33,,,,Bo Nix - DEN,10,$4,,,,Breece Hall - NYJ,13,$28,,,,Zay Flowers - BAL,13,$27,,,,Mark Andrews - BAL,13,$5,,,,Evan McPherson - CIN,6,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$33,,,,Matthew Stafford - LAR,11,$4,,,,Kenneth Walker III - KC,5,$27,,,,DeVonta Smith - PHI,10,$25,,,,Dalton Kincaid - BUF,7,$4,,,,Nick Folk - ATL,11,$0,,,,New Orleans Saints,8,$0,,,,,,,,,,
Derrick Henry (RB - BAL),13,$32,,,,Jared Goff - DET,6,$3,,,,Cam Skattebo - NYG,8,$26,,,,Emeka Egbuka - TB,10,$22,,,,Juwan Johnson - NO,8,$3,,,,Wil Lutz - DEN,10,$0,,,,Cincinnati Bengals,6,$0,,,,,,,,,,
James Cook III (RB - BUF),7,$32,,,,Tyler Shough - NO,8,$2,,,,Kyren Williams - LAR,11,$25,,,,Tetairoa McMillan - CAR,5,$22,,,,Hunter Henry - NE,11,$3,,,,Trey Smack - GB,11,$0,,,,Jacksonville Jaguars,7,$0,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$31,,,,Baker Mayfield - TB,10,$2,,,,Travis Etienne Jr. - NO,8,$24,,,,Malik Nabers - NYG,8,$22,,,,Brenton Strange - JAC,7,$2,,,,Tyler Bass - BUF,7,$0,,,,New England Patriots,11,$0,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$30,,,,Kyler Murray - MIN,6,$1,,,,Javonte Williams - DAL,14,$23,,,,Davante Adams - LAR,11,$21,,,,Dalton Schultz - HOU,8,$2,,,,Charlie Smyth - NO,8,$0,,,,Tampa Bay Buccaneers,10,$0,,,,,,,,,,
A.J. Brown (WR - NE),11,$30,,,,Malik Willis - MIA,6,$0,,,,Bucky Irving - TB,10,$22,,,,Tee Higgins - CIN,6,$21,,,,T.J. Hockenson - MIN,6,$1,,,,Jake Moody - WAS,7,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Chris Olave (WR - NO),8,$30,,,,Jordan Love - GB,11,$0,,,,D'Andre Swift - CHI,10,$21,,,,Jameson Williams - DET,6,$20,,,,Pat Freiermuth - PIT,9,$0,,,,Andy Borregales - NE,11,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Josh Jacobs (RB - GB),11,$29,,,,Sam Darnold - SEA,11,$0,,,,Quinshon Judkins - CLE,11,$19,,,,Terry McLaurin - WAS,7,$19,,,,Greg Dulcich - MIA,6,$0,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
George Pickens (WR - DAL),14,$29,,,,C.J. Stroud - HOU,8,$0,,,,Bhayshul Tuten - JAC,7,$18,,,,Ladd McConkey - LAC,7,$19,,,,Kenyon Sadiq - NYJ,13,$0,,,,Chris Boswell - PIT,9,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$28,,,,Daniel Jones - IND,13,$0,,,,TreVeyon Henderson - NE,11,$17,,,,Rome Odunze - CHI,10,$18,,,,Cade Otton - TB,10,$0,,,,Jason Sanders - NYJ,13,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
Breece Hall (RB - NYJ),13,$28,,,,Bryce Young - CAR,5,$0,,,,Jaylen Warren - PIT,9,$15,,,,Jaylen Waddle - DEN,10,$18,,,,Chig Okonkwo - WAS,7,$0,,,,Zane Gonzalez - MIA,6,$0,,,,New York Giants,8,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$28,,,,Geno Smith - NYJ,13,$0,,,,David Montgomery - HOU,8,$15,,,,DJ Moore - BUF,7,$17,,,,AJ Barner - SEA,11,$0,,,,Joey Slye - TEN,9,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$28,,,,Jacoby Brissett - ARI,14,$0,,,,Tony Pollard - TEN,9,$14,,,,Alec Pierce - IND,13,$17,,,,Oronde Gadsden II - LAC,7,$0,,,,Chad Ryland - ARI,14,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$27,,,,Cam Ward - TEN,9,$0,,,,Jadarian Price - SEA,11,$14,,,,Luther Burden III - CHI,10,$17,,,,Evan Engram - DEN,10,$0,,,,,,,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$27,,,,Aaron Rodgers - PIT,9,$0,,,,Chuba Hubbard - CAR,5,$14,,,,Courtland Sutton - DEN,10,$16,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,Miami Dolphins,6,$0,,,,,,,,,,
Zay Flowers (WR - BAL),13,$27,,,,Fernando Mendoza - LV,13,$0,,,,Rhamondre Stevenson - NE,11,$13,,,,Marvin Harrison Jr. - ARI,14,$15,,,,Terrance Ferguson - LAR,11,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$26,,,,Tua Tagovailoa - ATL,11,$0,,,,Rico Dowdle - PIT,9,$13,,,,Mike Evans - SF,8,$14,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Josh Allen (QB - BUF),7,$25,,,,Deshaun Watson - CLE,11,$0,,,,RJ Harvey - DEN,10,$12,,,,DK Metcalf - PIT,9,$14,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
Kyren Williams (RB - LAR),11,$25,,,,Shedeur Sanders - CLE,11,$0,,,,Aaron Jones Sr. - MIN,6,$12,,,,Christian Watson - GB,11,$13,,,,David Njoku - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$25,,,,,,,,,,J.K. Dobbins - DEN,10,$11,,,,Michael Pittman Jr. - PIT,9,$13,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers (TE - LV),13,$25,,,,,,,,,,Rachaad White - WAS,7,$11,,,,Wan'Dale Robinson - TEN,9,$12,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$24,,,,,,,,,,Kenny Gainwell - TB,10,$11,,,,Jakobi Meyers - JAC,7,$12,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams (RB - DAL),14,$23,,,,,,,,,,Kyle Monangai - CHI,10,$9,,,,Carnell Tate - TEN,9,$10,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$22,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$7,,,,Parker Washington - JAC,7,$10,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$22,,,,,,,,,,Blake Corum - LAR,11,$6,,,,Jayden Reed - GB,11,$9,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$22,,,,,,,,,,Tyjae Spears - TEN,9,$6,,,,Chris Godwin Jr. - TB,10,$9,,,,Ja'Tavion Sanders - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$22,,,,,,,,,,Jordan Mason - MIN,6,$6,,,,Brian Thomas Jr. - JAC,7,$9,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$21,,,,,,,,,,Jonathon Brooks - CAR,5,$6,,,,Michael Wilson - ARI,14,$9,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$21,,,,,,,,,,Woody Marks - HOU,8,$5,,,,Jordyn Tyson - NO,8,$8,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$21,,,,,,,,,,Alvin Kamara - NO,8,$4,,,,Khalil Shakir - BUF,7,$8,,,,Will Kacmarek - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$20,,,,,,,,,,Zach Charbonnet - SEA,11,$4,,,,Josh Downs - IND,13,$8,,,,Erick All Jr. - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$19,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$4,,,,Quentin Johnston - LAC,7,$8,,,,Jake Tonges - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$19,,,,,,,,,,Justice Hill - BAL,13,$4,,,,Jordan Addison - MIN,6,$8,,,,Austin Hooper - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$19,,,,,,,,,,Isiah Pacheco - DET,6,$4,,,,Xavier Worthy - KC,5,$8,,,,Eli Stowers - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$18,,,,,,,,,,Dylan Sampson - CLE,11,$3,,,,Ricky Pearsall - SF,8,$7,,,,Luke Musgrave - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$18,,,,,,,,,,Ty Johnson - BUF,7,$2,,,,Romeo Doubs - NE,11,$7,,,,Josh Oliver - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$18,,,,,,,,,,Samaje Perine - CIN,6,$2,,,,John Metchie III - CAR,5,$7,,,,Daniel Bellinger - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$17,,,,,,,,,,Tyler Allgeier - ARI,14,$2,,,,Makai Lemon - PHI,10,$7,,,,Noah Gray - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$17,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$2,,,,Rashid Shaheed - SEA,11,$6,,,,Brock Wright - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$17,,,,,,,,,,AJ Dillon - CAR,5,$2,,,,Matthew Golden - GB,11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$17,,,,,,,,,,Jordan James - SF,8,$2,,,,Jalen Coker - CAR,5,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$16,,,,,,,,,,Brian Robinson Jr. - ATL,11,$2,,,,Calvin Ridley - TEN,9,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$16,,,,,,,,,,Braelon Allen - NYJ,13,$2,,,,KC Concepcion - CLE,11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$15,,,,,,,,,,Emari Demercado - KC,5,$1,,,,Theo Wease Jr. - MIA,6,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$15,,,,,,,,,,Mike Washington Jr. - LV,13,$1,,,,Jerry Jeudy - CLE,11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$15,,,,,,,,,,Kaelon Black - SF,8,$1,,,,Tre Tucker - LV,13,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$14,,,,,,,,,,Keaton Mitchell - LAC,7,$0,,,,Jayden Higgins - HOU,8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$14,,,,,,,,,,Tank Bigsby - PHI,10,$0,,,,Jauan Jennings - MIN,6,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$14,,,,,,,,,,Chris Brooks - GB,11,$0,,,,Jalen McMillan - TB,10,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$14,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Rashod Bateman - BAL,13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$14,,,,,,,,,,Malik Davis - DAL,14,$0,,,,Denzel Boston - CLE,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$14,,,,,,,,,,James Conner - ARI,14,$0,,,,Antonio Williams - WAS,7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$13,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Jalen Nailor - LV,13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$13,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Cooper Kupp - SEA,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$13,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Tank Dell - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$13,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Omar Cooper Jr. - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$12,,,,,,,,,,Jawhar Jordan - HOU,8,$0,,,,Germie Bernard - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$12,,,,,,,,,,Jaydon Blue - DAL,14,$0,,,,Adonai Mitchell - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$12,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$0,,,,Travis Hunter - JAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$12,,,,,,,,,,MarShawn Lloyd - GB,11,$0,,,,Darnell Mooney - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$12,,,,,,,,,,George Holani - SEA,11,$0,,,,Malik Washington - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson (WR - TEN),9,$12,,,,,,,,,,Kendre Miller - NO,8,$0,,,,Bub Means - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$12,,,,,,,,,,Ty Chandler - NO,8,$0,,,,Christian Kirk - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$12,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Darius Slayton - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$11,,,,,,,,,,DJ Giddens - IND,13,$0,,,,Jaylin Noel - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$11,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Kayshon Boutte - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$11,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$11,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Ja'Kobi Lane - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$11,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Nick Westbrook-Ikhine - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$10,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$10,,,,,,,,,,Austin Ekeler - ,,$0,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$9,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$9,,,,,,,,,,Brashard Smith - KC,5,$0,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr. (WR - TB),10,$9,,,,,,,,,,Sean Tucker - TB,10,$0,,,,De'Zhaun Stribling - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$9,,,,,,,,,,Trevor Etienne - CAR,5,$0,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson (WR - ARI),14,$9,,,,,,,,,,Phil Mafah - DAL,14,$0,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$9,,,,,,,,,,Will Shipley - PHI,10,$0,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$9,,,,,,,,,,Devin Singletary - NYG,8,$0,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$8,,,,,,,,,,Jeremy McNichols - WAS,7,$0,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$8,,,,,,,,,,Jam Miller - NE,11,$0,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson (WR - NO),8,$8,,,,,,,,,,Elijah Mitchell - PHI,10,$0,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir (WR - BUF),7,$8,,,,,,,,,,,,,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs (WR - IND),13,$8,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston (WR - LAC),7,$8,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison (WR - MIN),6,$8,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy (WR - KC),5,$8,,,,,,,,,,,,,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$8,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$7,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$7,,,,,,,,,,,,,,,,Van Jefferson - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$7,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Pearsall (WR - SF),8,$7,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs (WR - NE),11,$7,,,,,,,,,,,,,,,,Olamide Zaccheaus - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie III (WR - CAR),5,$7,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon (WR - PHI),10,$7,,,,,,,,,,,,,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$6,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$6,,,,,,,,,,,,,,,,Savion Williams - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$6,,,,,,,,,,,,,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears (RB - TEN),9,$6,,,,,,,,,,,,,,,,Marvin Mims Jr. - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$6,,,,,,,,,,,,,,,,KaVontae Turpin - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks (RB - CAR),5,$6,,,,,,,,,,,,,,,,Cedric Tillman - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Shaheed (WR - SEA),11,$6,,,,,,,,,,,,,,,,DeMario Douglas - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden (WR - GB),11,$6,,,,,,,,,,,,,,,,Calvin Austin III - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$5,,,,,,,,,,,,,,,,Jaylin Lane - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams (QB - CHI),10,$5,,,,,,,,,,,,,,,,Chris Brazzell II - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),8,$5,,,,,,,,,,,,,,,,Elijah Sarratt - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker (WR - CAR),5,$5,,,,,,,,,,,,,,,,Keon Coleman - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley (WR - TEN),9,$5,,,,,,,,,,,,,,,,Jahdae Walker - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$5,,,,,,,,,,,,,,,,Tutu Atwell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson (TE - DAL),14,$5,,,,,,,,,,,,,,,,Demarcus Robinson - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$5,,,,,,,,,,,,,,,,Kevin Coleman Jr. - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
